Symbol,base_currency,quote_currency,quote_increment,base_increment,display_name,min_market_funds,margin_enabled,post_only,limit_only,cancel_only,status,status_message,trading_disabled,fx_stablecoin,max_slippage_percentage,auction_mode
DIA-USDT,DIA,USDT,0.00001,0.01,DIA/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
DNT-USD,DNT,USD,0.0001,0.1,DNT/USD,1,False,False,False,False,online,,False,False,0.03000000,False
DNT-USDC,DNT,USDC,0.000001,1,DNT/USDC,1,False,False,False,False,delisted,,True,False,0.03000000,False
DOGE-BTC,DOGE,BTC,0.00000001,0.1,DOGE/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
DOGE-EUR,DOGE,EUR,0.0001,0.1,DOGE/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
DOGE-GBP,DOGE,GBP,0.0001,0.1,DOGE/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
DOGE-USD,DOGE,USD,0.00001,0.1,DOGE/USD,1,False,False,False,False,online,,False,False,0.03000000,False
DOGE-USDT,DOGE,USDT,0.0001,0.1,DOGE/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
DOT-BTC,DOT,BTC,0.0000001,0.001,DOT/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
DOT-EUR,DOT,EUR,0.01,0.001,DOT/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
DOT-GBP,DOT,GBP,0.01,0.001,DOT/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
DOT-USD,DOT,USD,0.001,0.001,DOT/USD,1,False,False,False,False,online,,False,False,0.03000000,False
DOT-USDT,DOT,USDT,0.01,0.001,DOT/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
DREP-USD,DREP,USD,0.0001,0.01,DREP/USD,1,False,False,False,False,online,,False,False,0.03000000,False
DREP-USDT,DREP,USDT,0.0001,0.01,DREP/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
DYP-USD,DYP,USD,0.00001,0.1,DYP/USD,1,False,False,False,False,online,,False,False,0.03000000,False
DYP-USDT,DYP,USDT,0.00001,0.1,DYP/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
ELA-USD,ELA,USD,0.001,0.01,ELA/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ELA-USDT,ELA,USDT,0.001,0.01,ELA/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
ENJ-BTC,ENJ,BTC,0.00000001,0.01,ENJ/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
ENJ-USD,ENJ,USD,0.001,0.01,ENJ/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ENJ-USDT,ENJ,USDT,0.001,0.01,ENJ/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
ENS-EUR,ENS,EUR,0.01,0.001,ENS/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
ENS-USD,ENS,USD,0.01,0.001,ENS/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ENS-USDT,ENS,USDT,0.01,0.001,ENS/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
EOS-BTC,EOS,BTC,0.00000001,0.1,EOS/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
EOS-EUR,EOS,EUR,0.001,0.1,EOS/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
EOS-USD,EOS,USD,0.01,0.1,EOS/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ERN-EUR,ERN,EUR,0.01,0.001,ERN/EUR,1,False,False,True,False,online,,False,False,0.03000000,False
ERN-USD,ERN,USD,0.01,0.001,ERN/USD,1,False,False,False,False,online,,False,False,0.03000000,False
ERN-USDT,ERN,USDT,0.01,0.001,ERN/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
ETC-BTC,ETC,BTC,0.000001,0.00000001,ETC/BTC,0.000016,False,False,False,False,online,"Our ETC order books are now in full-trading mode. Limit, market and stop orders are all now available.",False,False,0.03000000,False
ETC-EUR,ETC,EUR,0.01,0.00000001,ETC/EUR,0.84,False,False,False,False,online,"Our ETC order books are now in full-trading mode. Limit, market and stop orders are all now available.",False,False,0.03000000,False
ETC-GBP,ETC,GBP,0.01,0.00000001,ETC/GBP,0.72,False,False,False,False,online,"Our ETC order books are now in full-trading mode. Limit, market and stop orders are all now available.",False,False,0.03000000,False
ETC-USD,ETC,USD,0.01,0.00000001,ETC/USD,1,False,False,False,False,online,"Our ETC order books are now in full-trading mode. Limit, market and stop orders are all now available.",False,False,0.03000000,False
ETH-BTC,ETH,BTC,0.00001,0.00000001,ETH/BTC,0.00001,False,False,False,False,online,,False,False,0.03000000,False
ETH-DAI,ETH,DAI,0.01,0.0001,ETH/DAI,1,False,False,False,False,online,,False,False,0.03000000,False
ETH-EUR,ETH,EUR,0.01,0.00000001,ETH/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
ETH-GBP,ETH,GBP,0.01,0.00000001,ETH/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
ETH-USD,ETH,USD,0.01,0.00000001,ETH/USD,1,False,False,False,False,online,,False,False,0.02000000,False
ETH-USDC,ETH,USDC,1,0.00000001,ETH/USDC,1,False,False,False,False,delisted,,True,False,0.03000000,False
ETH-USDT,ETH,USDT,0.01,0.00000001,ETH/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
FARM-USD,FARM,USD,0.01,0.001,FARM/USD,1,False,False,False,False,online,,False,False,0.03000000,False
FARM-USDT,FARM,USDT,0.01,0.001,FARM/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
FET-USD,FET,USD,0.0001,0.1,FET/USD,1,False,False,False,False,online,,False,False,0.03000000,False
FET-USDT,FET,USDT,0.0001,0.1,FET/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
FIDA-EUR,FIDA,EUR,0.0001,0.01,FIDA/EUR,1,False,False,False,False,online,,False,False,0.03000000,False
FIDA-USD,FIDA,USD,0.0001,0.01,FIDA/USD,1,False,False,False,False,online,,False,False,0.03000000,False
FIDA-USDT,FIDA,USDT,0.0001,0.01,FIDA/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
FIL-BTC,FIL,BTC,0.00000001,0.001,FIL/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
FIL-EUR,FIL,EUR,0.01,0.001,FIL/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
FIL-GBP,FIL,GBP,0.01,0.001,FIL/GBP,0.72,False,False,False,False,online,,False,False,0.03000000,False
FIL-USD,FIL,USD,0.001,0.001,FIL/USD,1,False,False,False,False,online,,False,False,0.03000000,False
FIS-USD,FIS,USD,0.0001,0.1,FIS/USD,1,False,False,False,False,online,,False,False,0.03000000,False
FIS-USDT,FIS,USDT,0.0001,0.1,FIS/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
FLOW-USD,FLOW,USD,0.001,0.001,FLOW/USD,1,False,False,False,False,online,,False,False,0.03000000,False
FLOW-USDT,FLOW,USDT,0.001,0.001,FLOW/USDT,1,False,False,False,False,online,,False,False,0.03000000,False
FORT-USD,FORT,USD,0.0001,0.01,FORT/USD,1,False,False,False,False,online,,False,False,0.03000000,False
FORT-USDT,FORT,USDT,0.0001,0.01,FORT/USDT,1,False,False,True,False,online,,False,False,0.03000000,False
FORTH-BTC,FORTH,BTC,0.0000001,0.001,FORTH/BTC,0.000016,False,False,False,False,online,,False,False,0.03000000,False
FORTH-EUR,FORTH,EUR,0.01,0.001,FORTH/EUR,0.84,False,False,False,False,online,,False,False,0.03000000,False
